count,outdegree
9320,0
 559,1
 124,2
  67,3
  38,4
  14,5
  27,6
   9,7
  15,8
  11,9
   5,10
   4,11
   6,12
   9,13
   4,14
   3,15
   1,16
   3,18
   2,19
   1,20
   3,21
   4,24
   2,25
   4,26
   2,27
   4,28
   4,29
   2,30
   1,31
   1,32
   1,33
   1,35
   2,38
   1,39
   2,40
   1,41
   1,44
   1,45
   2,46
   1,47
   1,48
   1,49
   1,50
   2,56
   1,58
   2,60
   3,64
   2,66
   1,69
   1,79
   1,83
   1,92
   1,99
   1,102
   1,104
   1,106
   1,112
   1,114
   1,117
   1,122
   1,130
   1,132
   2,140
   1,155
   1,156
   1,163
   1,167
   1,171
   1,174
   1,209
   1,219
   1,222
   1,228
   1,229
   1,235
   1,273
   1,315
   1,342
   1,451
   1,707
   1,1696
